qtd_ponto_url,qtd_hifen_url,qtd_underline_url,qtd_barra_url,qtd_interrogacao_url,qtd_igual_url,qtd_arroba_url,qtd_comercial_url,qtd_exclamacao_url,qtd_til_url,qtd_virgula_url,qtd_mais_url,qtd_asterisco_url,qtd_hashtag_url,qtd_cifrao_url,qtd_porcento_url,qtd_tld_url,comprimento_url,qtd_ponto_dominio,qtd_hifen_dominio,qtd_underline_dominio,qtd_arroba_dominio,qtd_vogais_dominio,comprimento_dominio,formato_ip_dominio,server_client_dominio,qtd_ponto_diretorio,qtd_hifen_diretorio,qtd_underline_diretorio,qtd_barra_diretorio,qtd_igual_diretorio,qtd_arroba_diretorio,qtd_comercial_diretorio,qtd_exclamacao_diretorio,qtd_til_diretorio,qtd_virgula_diretorio,qtd_mais_diretorio,qtd_asterisco_diretorio,qtd_cifrao_diretorio,qtd_porcento_diretorio,comprimento_diretorio,qtd_ponto_arquivo,qtd_hifen_arquivo,qtd_underline_arquivo,qtd_igual_arquivo,qtd_arroba_arquivo,qtd_comercial_arquivo,qtd_exclamacao_arquivo,qtd_til_arquivo,qtd_virgula_arquivo,qtd_mais_arquivo,qtd_asterisco_arquivo,qtd_hashtag_arquivo,qtd_cifrao_arquivo,qtd_porcento_arquivo,comprimento_arquivo,qtd_ponto_parametros,qtd_hifen_parametros,qtd_underline_parametros,qtd_barra_parametros,qtd_interrogacao_parametros,qtd_igual_parametros,qtd_arroba_parametros,qtd_comercial_parametros,qtd_exclamacao_parametros,qtd_til_parametros,qtd_virgula_parametros,qtd_mais_parametros,qtd_asterisco_parametros,qtd_hashtag_parametros,qtd_cifrao_parametros,qtd_porcento_parametros,comprimento_parametros,presenca_tld_argumentos,qtd_parametros,email_na_url,extensao_arquivo,dominio_presente_em_rbl,tempo_resposta,possui_spf,localizacao_geografica_ip,tempo_ativacao_dominio,tempo_expiracao_dominio,qtd_ip_resolvido,qtd_nameservers,qtd_servidores_mx,valor_ttl_associado,certificado_tls_ssl,qtd_redirecionamentos,url_indexada_no_google,dominio_indexado_no_google,phishing
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,7,16,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,4.027365,False,US,802,292,2,1,0,13,False,1,False,False,False
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,29,1,0,0,0,5,16,False,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,html,False,0.48529,False,US,5249,594,1,2,1,3585,False,1,False,False,False
5,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,3,90,2,0,0,0,5,17,False,False,2,1,0,4,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,35,True,1,True,htm,False,10.556839,False,IR,701,28,1,2,1,14380,True,1,False,False,True
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,53,1,0,0,0,4,12,False,False,1,0,0,4,0,0,0,0,0,9,0,0,0,0,41,1,0,0,0,0,0,0,0,9,0,0,0,0,0,18,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,9.139766,False,CN,3180,837,1,1,0,14385,True,0,False,False,True
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,49,2,0,0,0,8,28,False,False,1,0,0,1,0,0,0,0,0,9,0,0,0,0,21,1,0,0,0,0,0,0,0,9,0,0,0,0,0,20,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,html,False,4.822271,False,US,4090.257726,555.959321,5,2,2,291,True,0,False,False,True
3,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,1,91,2,0,0,0,4,17,False,False,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,0,1,0,1,0,0,9,0,0,0,0,0,60,False,1,False,php,False,10.44278,False,US,4688,424,1,3,1,604799,True,0,False,False,True
2,0,0,4,0,5,0,4,0,0,0,0,0,0,0,0,1,234,1,0,0,0,9,29,False,False,1,0,0,4,0,0,0,0,0,0,0,0,0,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,4,0,0,9,0,0,0,0,0,148,False,3,False,php,False,10.826718,True,US,2348,555.959321,1,2,1,582,False,0,False,False,True
1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,0,0,0,2,8,False,False,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,0.768163,True,US,4090.257726,598,3,10,1,872,True,1,False,False,False
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1,0,0,0,5,16,False,False,0,0,0,2,0,0,0,0,0,9,0,0,0,0,15,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,4.906225,False,UA,20,344,1,2,1,14391,True,0,False,False,True
2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,125,1,0,0,0,3,12,False,False,1,0,0,5,0,0,0,0,0,9,0,0,0,0,113,1,0,0,0,0,0,0,0,9,0,0,0,0,0,26,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,html,False,5.808697,False,NL,4090.257726,555.959321,1,2,1,86387,False,0,False,False,True
2,0,1,2,0,3,0,2,0,0,0,0,0,0,0,0,1,205,1,0,0,0,5,13,False,False,1,0,0,2,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,3,0,2,0,0,9,0,0,0,0,0,174,False,3,False,php,False,6.067636,False,UA,363,1,1,2,1,14386,True,0,False,False,True
2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,68,2,0,0,0,6,15,False,False,0,5,0,1,0,0,0,0,0,0,0,0,0,0,53,0,5,0,0,0,0,0,0,0,0,0,0,0,0,52,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,0.854467,False,US,4090.257726,555.959321,1,5,3,295,True,0.699718,False,False,False
2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,51,2,0,0,0,6,16,False,False,0,2,0,3,0,0,0,0,0,9,0,0,0,0,35,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,0.515456,False,US,4090.257726,555.959321,1,4,5,73,True,0,False,False,True
